,Код,Наименование,Район,Улица,Дом,Широта,Долгота,text
14879,641.0,город Екатеринбург,Орджоникидзевский район,Кировградская,59,56.899557,60.572852,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Кировградская
14881,641.0,город Екатеринбург,Орджоникидзевский район,Таганская,51,56.902723,60.63336,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Таганская
14884,641.0,город Екатеринбург,Орджоникидзевский район,Донбасская,21,56.88879,60.566447,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Донбасская
14886,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,99д,56.933913,60.592477,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
14887,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,18,56.867958,60.617992,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
16759,641.0,город Екатеринбург,Орджоникидзевский район,Глинная,9,56.953727,60.672062,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Глинная
16760,641.0,город Екатеринбург,Орджоникидзевский район,Фрезеровщиков,56а,56.903583,60.630946,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Фрезеровщиков
16761,641.0,город Екатеринбург,Орджоникидзевский район,Красных командиров,92,56.898839,60.635105,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Красных командиров
16762,641.0,город Екатеринбург,Орджоникидзевский район,Ломоносова,136,56.910414,60.609515,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ломоносова
16763,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,108,56.917563,60.614882,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
16764,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,108,56.91796,60.615042,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
16765,641.0,город Екатеринбург,Орджоникидзевский район,Космонавтов,108,56.916789,60.61449,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Космонавтов
16766,641.0,город Екатеринбург,Орджоникидзевский район,Старых большевиков,2а,56.88552,60.639827,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Старых большевиков
16767,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Бабушкина,2а,56.882702,60.630033,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Бабушкина
16768,641.0,город Екатеринбург,Орджоникидзевский район,Народного фронта,99в,56.91856,60.596227,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Народного фронта
16769,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Валимхаматова,36/1,56.955706,60.666944,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Валимхаматова
16770,641.0,город Екатеринбург,Орджоникидзевский район,Лунная,,56.958741,60.673146,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Лунная
16771,641.0,город Екатеринбург,Орджоникидзевский район,Пр-кт Космонавтов,256/1,56.941404,60.621584,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Пр-кт Космонавтов
16772,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Чуцкаева,,56.932499,60.618051,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Чуцкаева
16773,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Заречная/ Чуцкаева,,56.929605,60.616362,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Заречная/ Чуцкаева
16774,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Заречная,,56.927652,60.615939,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Заречная
16775,641.0,город Екатеринбург,Орджоникидзевский район,Каширская/Ползунова,51,56.905246,60.639606,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Каширская/Ползунова
16776,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Войкова/ Даурская,156/43,56.904892,60.644104,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Войкова/ Даурская
16777,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Войкова/ Даниловская,120/41,56.902839,60.638536,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Войкова/ Даниловская
16778,641.0,город Екатеринбург,Орджоникидзевский район,Народного фронта/пер. Высоковольтный,99,56.914463,60.595658,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Народного фронта/пер. Высоковольтный
16779,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Ржевская/ Лукиных,33,56.883978,60.557024,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Ржевская/ Лукиных
16780,641.0,город Екатеринбург,Орджоникидзевский район,Ул. Народного Фронта/ Уральских Рабочих,21/114,56.903259,60.579749,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ул. Народного Фронта/ Уральских Рабочих
16781,641.0,город Екатеринбург,Орджоникидзевский район,Баумана,17,56.890966,60.62283,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Баумана
16782,641.0,город Екатеринбург,Орджоникидзевский район,Аппаратная,14,56.87352,60.673889,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Аппаратная
16784,641.0,город Екатеринбург,Орджоникидзевский район,Таганская,55а,56.903377,60.632838,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Таганская
16788,641.0,город Екатеринбург,Орджоникидзевский район,Орджоникидзе,14,56.893641,60.590746,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Орджоникидзе
16792,641.0,город Екатеринбург,Орджоникидзевский район,Донбасская,8,56.890608,60.570658,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Донбасская
16796,641.0,город Екатеринбург,Орджоникидзевский район,Ломоносова,38,56.904446,60.595231,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ломоносова
16800,641.0,город Екатеринбург,Орджоникидзевский район,Ломоносова,9,56.897684,60.584967,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Ломоносова
16804,641.0,город Екатеринбург,Орджоникидзевский район,Стахановская,34,56.897222,60.601968,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Стахановская
16808,641.0,город Екатеринбург,Орджоникидзевский район,Старых большевиков,36,56.895819,60.626056,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Старых большевиков
16812,641.0,город Екатеринбург,Орджоникидзевский район,Сибирка,28,56.957225,60.680676,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Сибирка
16816,641.0,город Екатеринбург,Орджоникидзевский район,Машиностроителей,75,56.883663,60.568938,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Машиностроителей
16820,641.0,город Екатеринбург,Орджоникидзевский район,Машиностроителей,65,56.883663,60.568938,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Машиностроителей
16824,641.0,город Екатеринбург,Орджоникидзевский район,Уральских рабочих,50,56.89763,60.592597,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Уральских рабочих
16828,641.0,город Екатеринбург,Орджоникидзевский район,Кузнецова,2,56.887988,60.610001,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Кузнецова
16832,641.0,город Екатеринбург,Орджоникидзевский район,Восстания,56/4,56.905034,60.598314,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Восстания
16836,641.0,город Екатеринбург,Орджоникидзевский район,Бульвар культуры,23,56.890118,60.578888,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бульвар культуры
16840,641.0,город Екатеринбург,Орджоникидзевский район,Бульвар Культуры,11,56.888276,60.583043,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бульвар Культуры
16844,641.0,город Екатеринбург,Орджоникидзевский район,Бакинских комиссаров,102,56.908813,60.593354,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Бакинских комиссаров
16848,641.0,город Екатеринбург,Орджоникидзевский район,Красных командиров,118,56.900588,60.638858,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Красных командиров
16851,641.0,город Екатеринбург,Орджоникидзевский район,Машиностроителей,22,56.8844,60.586853,город Екатеринбург<br>Район: Орджоникидзевский район<br>Улица: Машиностроителей
